model,rank,feature,importance,genus
CST_model,1,OTU358939,0.2487072681009201,Lachnoclostridium
CST_model,2,OTU3700249,0.2437364833150424,Bacteroides
CST_model,3,OTU4459961,0.1591387404048466,Lachnoclostridium
CST_model,4,DegOTU178307,0.1434209494026823,Bacteroides
CST_model,5,DegOTU842817,0.1127782614210641,Parabacteroides
CST_model,6,DegOTU344895,0.0922182973554443,Bacteroides
TNF_model,1,OTU175594,0.0528226634577299,Bacteroides
TNF_model,2,OTU197644,0.0519967344794324,Muribaculum
TNF_model,3,OTU145126,0.051803521595744,Blautia
TNF_model,4,OTU845078,0.0499244729218684,Roseburia
TNF_model,5,OTU320137,0.0438842431957729,Subdoligranulum
TNF_model,6,OTU332317,0.0433853162150349,Bacteroides
TNF_model,7,OTU194921,0.041361972789484,Anaerostipes
TNF_model,8,OTU1017452,0.0369191026121281,Akkermansia
TNF_model,9,OTU842879,0.0366991473580738,Faecalibacterium
TNF_model,10,OTU194958,0.0358083737054749,[Ruminococcus] gnavus group
TNF_model,11,DegOTU193454,0.0344497907018067,Roseburia
TNF_model,12,OTU843614,0.0325478277524857,Sutterella
TNF_model,13,DisDurAtEnroll,0.0308182472204211,
TNF_model,14,DegOTU320137,0.0301778934024934,Subdoligranulum
TNF_model,15,DiseaseActivity_ordinal,0.0301605235515846,
TNF_model,16,OTU984843,0.029379665480204,Haemophilus
TNF_model,17,DegOTU194921,0.0279666524447502,Anaerostipes
TNF_model,18,OTU840788,0.0277405168964673,Sutterella
TNF_model,19,OTU3343819,0.0270767798868045,Lachnoclostridium
TNF_model,20,OTU341820,0.0268081039475884,Flavonifractor
TNF_model,21,DegOTU544718,0.0255026287172527,Escherichia-Shigella
TNF_model,22,DegOTU2375352,0.0252006161039167,Bacteroides
TNF_model,23,DegOTU183686,0.0233750137014501,UBA1819
TNF_model,24,DegOTU341820,0.023191717585511,Flavonifractor
TNF_model,25,disease_encoded,0.0218209303462091,
TNF_model,26,OTU845972,0.0210568676702015,Lachnoclostridium
TNF_model,27,DegOTU2431504,0.0208322567812584,Bacteroides
TNF_model,28,disduratenroll_categorized_ordinal,0.0201119842524638,
TNF_model,29,higher_cat_renumbered,0.0175172511758086,
TNF_model,30,disduratenroll_categorized_is_early_disease,0.0161269590420371,
TNF_model,31,cst_resp,0.0143909384701358,
TNF_model,32,EndoscopicalAssessment_ordinal,0.0131783024627946,
TNF_model,33,disduratenroll_categorized_is_very_late_disease,0.0103713188202115,
TNF_model,34,BMI_categorized_is_overweight,0.0055916652553982,
