feature,importance
OTU197644,0.052953151806057155
OTU175594,0.048152092709386606
OTU145126,0.04671214494879313
OTU845078,0.045092004275590965
OTU320137,0.04453643242417327
OTU194921,0.04383030336082592
OTU194958,0.034971930482646935
OTU332317,0.03416343337758543
DisDurAtEnroll,0.03377863327520435
OTU843614,0.032700686752068976
OTU4360328,0.032639319105405185
OTU840788,0.03261567367821339
OTU3343819,0.032220827518165115
DegOTU320137,0.03216793712288996
OTU842879,0.03117075633043088
DiseaseActivity_ordinal,0.029642675490362258
OTU1017452,0.029240638560355924
DegOTU544718,0.028500676925878644
DegOTU341820,0.02750521979221885
DegOTU2431504,0.02738775620560559
DegOTU193454,0.02730057990399724
DegOTU183686,0.026975661590915596
DegOTU194921,0.025680193693272037
DegOTU2375352,0.02431583771639396
OTU341820,0.024180825375501487
OTU984843,0.023830166036064297
OTU845972,0.02225121310691828
disease_encoded,0.020498988175870824
disduratenroll_categorized_ordinal,0.01770761371268499
disduratenroll_categorized_is_early_disease,0.0136865529274534
higher_cat_renumbered,0.013411850495838125
cst_resp,0.012962889743017592
EndoscopicalAssessment_ordinal,0.012654714221529962
disduratenroll_categorized_is_very_late_disease,0.009960497315400543
BMI_categorized_is_overweight,0.004600121843283119
